_id,authors,name,link,sale_coast,old_coast,rating
5ecebaf1f2c954e59741e673,"[""Шмитт Кристофер"",""Черни Роб"",""Блессинг Кимберли""]", Применение Web-стандартов. CSS и Ajax для больших сайтов,https://www.labirint.ru/books/300256/,287,359,0
5ecebaf1f2c954e59741e675,"[""Евдокимов Юрий Кириллович"",""Щербаков Геннадий Иванович"",""Линдваль Владимир Романович""]", LabVIEW в научных исследованиях,https://www.labirint.ru/books/301535/,1223,1529,10
5ecebaf1f2c954e59741e676,"[""Дронов Владимир Александрович""]", Самоучитель Adobe Dreamweaver CS5.5,https://www.labirint.ru/books/311712/,290,363,6.75
5ecebaf2f2c954e59741e678,"[""Браун Пит""]", Silverlight. Практическое руководство,https://www.labirint.ru/books/324803/,1153,1478,10
5ecebaf2f2c954e59741e67a,"[""Пауэрс Дэвид""]", PHP. Создание динамических страниц,https://www.labirint.ru/books/325157/,798,998,7.75
5ecebaf2f2c954e59741e67e,"[""Хандхаузен Ричард""]", Знакомство с Microsoft Visual Studio 2005 Team System,https://www.labirint.ru/books/338820/,338,423,0
5ecebaf2f2c954e59741e680,"[""Машнин Тимур Сергеевич""]", JavaFX 2.0. Разработка RIA-приложений,https://www.labirint.ru/books/327014/,359,449,3.67
5ecebaf2f2c954e59741e682,"[""Могилев Александр Владимирович"",""Листрова Людмила Викторовна""]", Средства информатизации. Телекоммуникационные технологии,https://www.labirint.ru/books/338854/,290,363,0
5ecebaf3f2c954e59741e683,"[""Джонсон Брайан"",""Янг Марк"",""Скибо Крэйг""]", Основы Microsoft Visual Studio .NET 2003,https://www.labirint.ru/books/338821/,267,334,0
5ecebaf3f2c954e59741e685,"[""Мангано Сэл""]", XSLT. Сборник рецептов,https://www.labirint.ru/books/340480/,888,1110,0
5ecebaf3f2c954e59741e687,"[""Пугачев Сергей Вячеславович"",""Сошников Дмитрий Валерьевич"",""Павлов Станислав""]", Разработка приложений для Windows Phone 7.5,https://www.labirint.ru/books/343810/,422,528,0
5ecebaf3f2c954e59741e689,"[""Здзиарски Джонатан""]", iPhone. Разработка приложений с открытым кодом,https://www.labirint.ru/books/338894/,320,400,0
5ecebaf3f2c954e59741e68a,"[""Солонина Алла Ивановна""]", Цифровая обработка сигналов. Моделирование в Simulink,https://www.labirint.ru/books/343813/,488,610,10
5ecebaf3f2c954e59741e68b,"[""Дронов Владимир Александрович""]", Windows 8,https://www.labirint.ru/books/359670/,583,729,10
5ecebaf4f2c954e59741e68c,"[""Клейн Тобиас""]", Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,https://www.labirint.ru/books/360829/,819,1024,9
5ecebaf4f2c954e59741e68d,"[""Гэртнер Маркус""]", ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,https://www.labirint.ru/books/365189/,902,1127,4.5
5ecebaf4f2c954e59741e68e,"[""Хеффельфингер Дэвид""]", Разработка приложений Java EE 6 в NetBeans 7,https://www.labirint.ru/books/378980/,978,1223,9
5ecebaf4f2c954e59741e68f,"[""Уилмсхерст Тим""]", Разработка встроенных систем с помощью микроконтроллеров PIC. Принципы и практические примеры (+CD),https://www.labirint.ru/books/379810/,890,1113,9
5ecebaf4f2c954e59741e690,"[""Белиовская Лидия Георгиевна"",""Белиовский Александр Евгеньевич""]", Программируем микрокомпьютер NXT в LabVIEW,https://www.labirint.ru/books/366096/,582,728,0
5ecebaf4f2c954e59741e691,"[""Во Ханг""]", Оптимизация производительности приложений для iOS. Для профессионалов,https://www.labirint.ru/books/372575/,902,1127,0
5ecebaf5f2c954e59741e692,"[""Росляков Александр Владимирович"",""Крылов Павел Сергеевич""]"," Принципы построения, применения и проектирования компьютерной платформы U-SYS",https://www.labirint.ru/books/381228/,331,414,0
5ecebaf5f2c954e59741e693,"[""Гудсон Джон"",""Стюард Роб""]", Практическое руководство по доступу к данным (+DVD),https://www.labirint.ru/books/394122/,593,741,6
5ecebaf5f2c954e59741e694,"[""Мол Дэниел""]", Создание облачных и мобильных приложений на языке F#,https://www.labirint.ru/books/392455/,662,827,0
5ecebaf5f2c954e59741e695,"[""Легейда В. В.""]",Visual FoxPro 9.0. Учебный курс,https://www.labirint.ru/books/396574/,609,761,0
5ecebaf5f2c954e59741e696,"[""Магда Юрий Степанович""]", LabVIEW. Практический курс для инженеров и разработчиков,https://www.labirint.ru/books/400576/,501,626,8.67
5ecebaf5f2c954e59741e697,"[""Сафронов Игорь Константинович""]", Visuai Basic в задачах и примерах,https://www.labirint.ru/books/406396/,266,332,9
5ecebaf6f2c954e59741e698,"[""Голдштейн Саша"",""Флатов Идо"",""Зурбалев Дима""]", Оптимизация приложений на платформе .Net,https://www.labirint.ru/books/408451/,1468,1835,9.8
5ecebaf6f2c954e59741e699,"[""Смоленцев Николай Константинович""]", Основы теории вейвлетов. Вейвлеты в MATLAB,https://www.labirint.ru/books/411118/,1142,1427,0
5ecebaf6f2c954e59741e69a,"[""Машнин Тимур Сергеевич""]", Google App Engine Java и Google Web Toolkit. Разработка Web-приложений,https://www.labirint.ru/books/413343/,530,662,4
5ecebaf6f2c954e59741e69b,"[""Гецманн Патрик"",""Новак Петер"",""Хакфорт Симон""]"," Разработка приложений для Windows Phone. Архитектура, фреймворки, API",https://www.labirint.ru/books/415470/,1224,1530,0
5ecebaf6f2c954e59741e69c,"[""Шасанкар Кришна""]", Zend Framework 2.0 разработка веб-приложений,https://www.labirint.ru/books/415399/,394,505,0
5ecebaf6f2c954e59741e69d,"[""Ховард Майкл"",""Виега Джон"",""Лебланк Дэвид""]"," Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",https://www.labirint.ru/books/417792/,819,1024,8
5ecebaf6f2c954e59741e69e,"[""Козловский Павел"",""Бэкон Дарвин Питер""]", Разработка веб-приложений с использованием AngularJS,https://www.labirint.ru/books/419549/,1060,1325,8.2
5ecebaf7f2c954e59741e69f,"[""Белиовская Лидия Георгиевна""]"," Узнайте, как программировать на LabVIEW",https://www.labirint.ru/books/420114/,407,626,10
5ecebaf7f2c954e59741e6a0,"[""Дьяконов Владимир Павлович""]", MATLAB. Полный самоучитель,https://www.labirint.ru/books/423635/,1632,2040,4
5ecebaf7f2c954e59741e6a1,"[""Зуев Евгений Александрович""]", Редкая профессия,https://www.labirint.ru/books/423643/,501,626,1
5ecebaf7f2c954e59741e6a2,"[""Кудряшов Борис Давидович""]", Основы теории кодирования. Учебное пособие,https://www.labirint.ru/books/502702/,756,945,0
5ecebaf7f2c954e59741e6a3,"[""Пьявченко Тамила Алексеевна""]", Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,https://www.labirint.ru/books/503531/,1909,2386,9
5ecebaf7f2c954e59741e6a4,"[""Токарев Владислав Васильевич""]", Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,https://www.labirint.ru/books/510433/,1380,1725,0
5ecebaf7f2c954e59741e6a5,"[""Подколзин Александр Сергеевич""]", Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,https://www.labirint.ru/books/510446/,1534,1917,10
5ecebaf8f2c954e59741e6a6,"[""Курейчик Виктор Михайлович"",""Лебедев Олег Борисович"",""Лебедев Борис Константинович""]", Поисковая адаптация. Теория и практика,https://www.labirint.ru/books/511908/,605,756,0
5ecebaf8f2c954e59741e6a7,"[""Мак-Дональд Мэтью""]", Silverlight 5 с примерами на C# для профессионалов,https://www.labirint.ru/books/512879/,1660,2075,0
5ecebaf8f2c954e59741e6a8,"[""Мак-Дональд Мэтью""]", WPF. Windows Presentation Foundation в .NET 4.5 с примерами на C# 5.0 для профессионалов,https://www.labirint.ru/books/512880/,3458,4322,10
5ecebaf8f2c954e59741e6a9,"[""Рамел Дэн""]", Joomla! Для профессионалов,https://www.labirint.ru/books/512898/,1382,1728,0
5ecebaf8f2c954e59741e6aa,"[""Моримото Рэнд"",""Ярдени Гай"",""Ноэл Майкл""]", Microsoft Exchange Server 2013. Полное руководство,https://www.labirint.ru/books/512899/,2765,3456,0
5ecebaf8f2c954e59741e6ab,"[""Лонг Фрэд"",""Сикорд Роберт С."",""Мохиндра Дхрув""]", Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,https://www.labirint.ru/books/512906/,698,873,0
5ecebaf9f2c954e59741e6ac,"[""Фримен Адам""]", ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,https://www.labirint.ru/books/512916/,4149,5186,0
5ecebaf9f2c954e59741e6ad,"[""Рассел Стюарт"",""Норвиг Питер""]", Искусственный интеллект. Современный подход,https://www.labirint.ru/books/512934/,8294,10368,4.75
5ecebaf9f2c954e59741e6ae,"[""Александреску Андрей""]"," Современное проектирование на C++. Серия ""C++ In-Depth""",https://www.labirint.ru/books/512944/,1382,1728,10
5ecebaf9f2c954e59741e6af,"[""Шилдт Герберт""]", C++. Базовый курс,https://www.labirint.ru/books/512961/,2074,2592,7.33
5ecebaf9f2c954e59741e6b0,"[""Грей Энтони""]", Swift. Карманный справочник,https://www.labirint.ru/books/512968/,622,778,0
5ecebaf9f2c954e59741e6b1,"[""Колисниченко Денис Николаевич""]", Drupal 7. Руководство пользователя,https://www.labirint.ru/books/513005/,297,371,10
5ecebaf9f2c954e59741e6b2,"[""Глинн Джей"",""Уотсон Карли"",""Ивьен Билл""]", C# 5.0 и платформа .NET 4.5 для профессионалов,https://www.labirint.ru/books/513023/,2074,2592,10
5ecebaf9f2c954e59741e6b3,"[""Колисниченко Денис Николаевич""]", Joomla 2.5. Руководство пользователя,https://www.labirint.ru/books/513012/,430,538,0
5ecebafaf2c954e59741e6b4,"[""Уилсон Мэтью""]", Расширение библиотеки STL для С++. Наборы и итераторы (+CD),https://www.labirint.ru/books/513688/,820,1025,0
5ecebafaf2c954e59741e6b5,"[""Прасти Нараян""]", Введение в ECMAScript 6,https://www.labirint.ru/books/516657/,819,1024,0
5ecebafaf2c954e59741e6b6,"[""Михеев Андрей""]", Системы управления бизнес-процессами на примере свободной программы RunaWFE,https://www.labirint.ru/books/520570/,819,1024,0
5ecebafaf2c954e59741e6b7,"[""Албахари Джозеф"",""Албахари Бен""]", C# 6.0. Карманный справочник,https://www.labirint.ru/books/518949/,835,1044,10
5ecebafaf2c954e59741e6b8,"[""Струченков Валерий Иванович""]"," Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",https://www.labirint.ru/books/520622/,608,760,0
5ecebafaf2c954e59741e6b9,"[""Гилат Амос""]", MATLAB. Теория и практика,https://www.labirint.ru/books/522983/,1305,1631,9
5ecebafaf2c954e59741e6ba,"[""Гайдук Анатолий Романович"",""Беляев Виктор Егорович"",""Пьявченко Тамила Алексеевна""]", Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,https://www.labirint.ru/books/521754/,2423,3029,0
5ecebafbf2c954e59741e6bb,"[""Лесковец Юре"",""Раджараман Ананд"",""Ульман Джеффри Д.""]", Анализ больших наборов данных,https://www.labirint.ru/books/525295/,1632,2040,4.89
5ecebafbf2c954e59741e6bc,"[""Струченков Валерий Иванович""]"," Прикладные задачи оптимизации. Модели, методы, алгоритмы",https://www.labirint.ru/books/525296/,664,830,0
5ecebafbf2c954e59741e6bd,"[""Албахари Джозеф"",""Албахари Бен""]", C# 6.0. Справочник. Полное описание языка,https://www.labirint.ru/books/529149/,3458,4322,6.5
5ecebafbf2c954e59741e6be,"[""Конова Елена Александровна"",""Поллак Галина Андреевна""]", Алгоритмы и программы. Язык С++. Учебное пособие,https://www.labirint.ru/books/530508/,1520,1900,7.33
5ecebafbf2c954e59741e6bf,"[""Типикин А. А.""]", Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox,https://www.labirint.ru/books/531132/,401,501,0
5ecebafbf2c954e59741e6c0,"[""Слаткин Бретт""]", Секреты Python. 59 рекомендаций по написанию эффективного кода,https://www.labirint.ru/books/545201/,1660,2075,4.33
5ecebafcf2c954e59741e6c1,"[""Люк Дуглас А.""]", Анализ сетей (графов) в среде R. Руководство пользователя,https://www.labirint.ru/books/547710/,1468,1835,5.33
5ecebafcf2c954e59741e6c2,"[""Хартл Майкл""]", Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,https://www.labirint.ru/books/550948/,1632,2040,5
5ecebafcf2c954e59741e6c3,"[""Кириллов Владимир Васильевич"",""Громов Геннадий Юрьевич""]", Введение в реляционные базы данных (+CD),https://www.labirint.ru/books/551676/,953,1191,0
5ecebafcf2c954e59741e6c4,"[""Макдональд Мэтью""]", Веб-разработка. Исчерпывающее руководство,https://www.labirint.ru/books/556776/,1399,1794,8.33
5ecebafcf2c954e59741e6c5,"[""Хоффман Чарльз"",""Уотсон Лив""]", XBRL для чайников,https://www.labirint.ru/books/559687/,2074,2592,8
5ecebafcf2c954e59741e6c6,"[""Вестра Эрик""]", Разработка геоприложений на языке Python,https://www.labirint.ru/books/560587/,1386,1733,8.5
5ecebafcf2c954e59741e6c7,"[""Виссер Джуст""]", Разработка обслуживаемых программ на языке Java,https://www.labirint.ru/books/562035/,742,927,8
5ecebafdf2c954e59741e6c8,"[""Плохотников Константин Эдуардович""]", Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,https://www.labirint.ru/books/566832/,1334,1667,10
5ecebafdf2c954e59741e6c9,"[""Шилдт Герберт""]", C. Полное руководство. Классическое издание,https://www.labirint.ru/books/567766/,3049,3811,10
5ecebafdf2c954e59741e6ca,"[""Минник Крис"",""Холланд Ева""]", JavaScript для любознательных,https://www.labirint.ru/books/570521/,1107,1384,10
5ecebafdf2c954e59741e6cb,"[""Холмс Саймон""]"," Стек MEAN. Mongo, Express, Angular, Node",https://www.labirint.ru/books/572158/,1152,1477,6.5
5ecebafdf2c954e59741e6cc,"[""Албахари Джозеф"",""Албахари Бен""]", C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,https://www.labirint.ru/books/612651/,1107,1384,10
5ecebafdf2c954e59741e6cd,"[""Солонина Алла Ивановна""]", Цифровая обработка сигналов в зеркале MATLAB. Учебное пособие,https://www.labirint.ru/books/615378/,1154,1443,4
5ecebafdf2c954e59741e6ce,"[""Кишори Шаран""]", Java 9. Полный обзор нововведений,https://www.labirint.ru/books/615911/,1632,2040,0
5ecebafef2c954e59741e6cf,"[""Сизиков Валерий Сергеевич""]"," Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",https://www.labirint.ru/books/621029/,2912,3640,0
5ecebafef2c954e59741e6d0,"[""Абельская Раиса Шолемовна""]", Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,https://www.labirint.ru/books/626667/,253,316,0
5ecebafef2c954e59741e6d1,"[""Дронов Владимир Александрович""]", Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP,https://www.labirint.ru/books/627715/,778,972,0
5ecebafef2c954e59741e6d2,"[""Прохоренок Николай Анатольевич""]", OpenCV и Java. Обработка изображений и компьютерное зрение,https://www.labirint.ru/books/633392/,651,814,0
5ecebafef2c954e59741e6d3,"[""Шилдт Герберт""]", Справочник программиста по C/C++,https://www.labirint.ru/books/633540/,1107,1384,0
5ecebafef2c954e59741e6d4,"[""Гаско Рик""]", Простая Математика для Простых Программистов,https://www.labirint.ru/books/634879/,664,830,2
5ecebafef2c954e59741e6d5,"[""Лигуори Роберт"",""Лигуори Патрисия""]", Java. Карманный справочник,https://www.labirint.ru/books/636887/,835,1044,3
5ecebafff2c954e59741e6d6,"[""Браверман Борис Аронович""]"," Программное обеспечение геодезии, фотограм, кадастра, инж.из.",https://www.labirint.ru/books/637454/,1060,1325,9.5
5ecebafff2c954e59741e6d7,"[""Тарапата Виктор Викторович"",""Салахова Алена Антоновна"",""Красных Андрей Владимирович""]", Конструируем роботов на LEGO MINDSTORMS Education EV3. Ханойская башня,https://www.labirint.ru/books/644395/,186,310,0
5ecebafff2c954e59741e6d8,"[""Смирнов Денис Евгеньевич""]", Облачные технологии поддержки решения задач анализа безубыточности. Монография,https://www.labirint.ru/books/647638/,430,537,0
5ecebafff2c954e59741e6d9,"[""Фрисби Мэтт""]", Angular. Сборник рецептов,https://www.labirint.ru/books/660315/,1382,1728,3
5ecebafff2c954e59741e6da,"[""Ершов Николай Михайлович""]", Введение в распределенное моделирование в среде NetLogo,https://www.labirint.ru/books/653362/,1468,1835,0
5ecebafff2c954e59741e6db,"[""Таха Хемди А.""]", Исследование операций,https://www.labirint.ru/books/660317/,3458,4322,0
5ecebafff2c954e59741e6dc,"[""Вандевурд Дэвид"",""Грегор Дуглас"",""Джосаттис Николаи М.""]", Шаблоны C++. Справочник разработчика,https://www.labirint.ru/books/660323/,3458,4322,0
5ecebb00f2c954e59741e6dd,"[""Болотнов Анатолий Миронович""]", Разработка программных приложений в среде BlackBox. Учебное пособие,https://www.labirint.ru/books/662831/,1209,1511,0
5ecebb00f2c954e59741e6de,"[""Макшанов Андрей Владимирович"",""Журавлев Антон Евгеньевич""]", Технологии интеллектуального анализа данных. Учебное пособие,https://www.labirint.ru/books/662832/,1601,2001,4.67
5ecebb00f2c954e59741e6df,"[""Сенько Александр""]", Работа с BigData в облаках. Обработка и хранение данных с примерами из Microsoft Azure,https://www.labirint.ru/books/667925/,887,1137,4.53
5ecebb00f2c954e59741e6e0,"[""Мартелли Алекс"",""Холден Стив"",""Рейвенскрофт Анна""]", Python. Справочник. Полное описание языка,https://www.labirint.ru/books/667550/,3458,4322,0
