,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
206,Инженер по снабжению,https://www.superjob.ru/vakansii/inzhener-po-snabzheniyu-33839809.html,Фасадстрой, Москва,60000,,руб.
207,Инженер-обследователь,https://www.superjob.ru/vakansii/inzhener-obsledovatel-33834470.html,ПСУ-5, Москва,,,
208,Преподаватель спецдисциплин (инженер-схемотехник),https://www.superjob.ru/vakansii/prepodavatel-specdisciplin-33839717.html,ГАПОУ ПК № 8 им. И. Ф. Павлова, Москва,,,
209,Инженер отдела технической документации / Специалист отдела технической документации,https://www.superjob.ru/vakansii/inzhener-otdela-tehnicheskoj-dokumentacii-33425333.html,Александер Электрик источники электропитания," Москва, Ботанический сад",45000,50000,руб.
210,"Инженер проекта / Менеджер проекта (отопление, вентиляция)",https://www.superjob.ru/vakansii/inzhener-proekta-33491071.html,ТСА," Москва, Рязанский проспект",,80000,руб.
211,"Инженер-проектировщик электроснабжения ЭС, ЭМ, ЭО, ЭН",https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektrosnabzheniya-es-33152035.html,"ПК ""СпецАтомСервис"""," Москва, Бауманская и ещё 2 станции",,,
212,Инженер технического отдела,https://www.superjob.ru/vakansii/inzhener-tehnicheskogo-otdela-32197440.html,СпецСтройТехнологии-М, Москва,,,
213,Главный инженер,https://www.superjob.ru/vakansii/glavnyj-inzhener-33839304.html,КОНСТРУКТИВНЫЕ РЕШЕНИЯ," Москва, Ленинский проспект",80000,100000,руб.
214,Инженер-программист станков с ЧПУ / Оператор-программист ЧПУ TruPuch 1000,https://www.superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-32517168.html,АлПлант," Москва, Котельники",65000,,руб.
215,Инженер по ремонту электробензоинструмента / Механик / Сервисный инженер,https://www.superjob.ru/vakansii/inzhener-po-remontu-elektrobenzoinstrumenta-33578520.html,СМТ-Сервис," Москва, Щукинская, Строгино",,,
216,"Инженер-конструктор, проектировщик",https://www.superjob.ru/vakansii/inzhener-konstruktor-29812985.html,"Институт ""Оргэнергострой""", Москва,50000,53000,руб.
217,Инженер-проектировщик печатных плат (электронщик),https://www.superjob.ru/vakansii/inzhener-proektirovschik-pechatnyh-plat-33786879.html,УВП, Москва,,,
218,Инженер ПТО,https://www.superjob.ru/vakansii/inzhener-pto-31040823.html,"ООО ""ИСС"" ЮГ", Москва,55000,60000,руб.
219,Кадастровый инженер,https://www.superjob.ru/vakansii/kadastrovyj-inzhener-33786922.html,Терминал, Москва,,,
220,Инженер-программист,https://www.superjob.ru/vakansii/inzhener-programmist-33771401.html,Стаффмикс, Москва,,,
221,Инженер-проектировщик ОВиК,https://www.superjob.ru/vakansii/inzhener-proektirovschik-ovik-33843155.html,Желдорпроект," Москва, Семеновская",,,
222,NLP Engineer / NLP инженер,https://www.superjob.ru/vakansii/nlp-engineer-33788780.html,МФТИ, Москва,120000,,руб.
223,"Главный инженер проекта (электро-, тепло-, промышленное и гражданское строительство)",https://www.superjob.ru/vakansii/glavnyj-inzhener-proekta-26092155.html,Проектные Энергетические Системы, Москва,,,
